iter	Passed	Remaining
0	1	107
1	1	91
2	2	92
3	3	85
4	4	86
5	5	83
6	6	81
7	7	80
8	7	78
9	8	77
10	9	76
11	10	75
12	11	74
13	11	73
14	12	72
15	13	72
16	14	71
17	15	70
18	16	69
19	17	68
20	18	68
21	18	67
22	19	65
23	20	64
24	21	63
25	22	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	29	54
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
